N,P,K,temperature,humidity,ph,rainfall,label
38,135,203,23.76121837,93.661643,5.9655513110000005,100.825956,apple
31,137,196,22.14464104,93.82567435,6.400321212000001,120.6310784,apple
26,122,202,22.44516988,94.73763514,5.617227184,107.1843273,apple
35,131,203,22.42776057,93.91722423,5.893490899,102.7230739,apple
35,128,205,21.07273439,93.56585985,6.041053829,107.8737015,apple
6,144,198,21.11478672,90.31528693,5.559363609,104.5086618,apple
13,144,197,22.9215706,94.89613443,6.28022267,105.6941544,apple
10,140,197,22.16939473,90.27185592,6.229498836,124.4683112,apple
10,141,201,22.12659387,90.97818277,6.386021424,104.5412275,apple
14,139,197,21.72484506,92.83975602,6.056529526,121.6961761,apple
89,91,55,25.08347445,80.26173100000003,6.275572297999999,94.32961456,banana
93,81,50,27.71822477,76.57853189,6.0360792660000016,102.2099836,banana
107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,banana
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana
93,83,46,29.38254012,83.50423735,5.765308943,109.2486647,banana
92,81,52,27.39341554,81.4654833,6.438137278999998,94.31102057,banana
117,82,45,25.29391516,79.29122198,5.614471478,105.4220251,banana
119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,banana
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,banana
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,banana
22,55,20,33.95309131,69.96100028,7.423530351,61.16350463,blackgram
34,60,16,31.35730791,64.24992106,7.322555222999999,63.85668948,blackgram
33,75,21,33.04687968,68.93875631,6.690655045,62.30278274,blackgram
37,62,17,25.68576704,69.84354028,7.121254928,74.62068748,blackgram
34,66,19,32.97030511,60.18122078,7.586642101,73.44678678,blackgram
29,67,21,29.79181107,63.38789228,6.621323612,63.02169909,blackgram
53,67,17,31.77681682,69.01852894,7.296972161,61.46892873,blackgram
35,64,15,28.47442276,63.53604453,6.500144962,69.5274407,blackgram
60,59,22,31.86847286,66.74217464,7.191522601,74.22238583,blackgram
55,66,22,30.91219459,68.79427388,7.747775262999999,66.63830637,blackgram
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,chickpea
37,78,79,19.95264829,14.82633099,7.786366322,88.6810311,chickpea
59,62,83,18.57665902,19.22008229,8.104396057999999,72.94940441,chickpea
60,61,78,20.71219282,19.83643308,6.317153205,94.03659867,chickpea
52,56,85,20.118744600000007,14.44228303,6.81712422,88.68168643,chickpea
51,72,75,18.88852533,14.99451145,7.1042247970000005,80.11133840000002,chickpea
52,68,78,17.48504075,16.96070581,6.89655198,86.05078037,chickpea
24,56,85,18.19903647,17.41333199,6.545888558,80.6405403,chickpea
27,79,82,17.06579293,17.54024066,6.307004922999999,70.87150577,chickpea
23,6,33,29.18032562,92.73041222,6.025789594,204.9603677,coconut
0,19,33,27.1326009,95.23797989,6.234458417000001,204.7206567,coconut
23,7,34,26.1055118,91.52421214,5.852038202,134.1279669,coconut
24,27,34,28.87862994,95.11320315,6.203376525,145.0583117,coconut
26,9,32,25.9490364,94.73860514,6.470465614,144.15711090000005,coconut
36,27,26,26.58413917,95.78923137,6.25449571,171.6262299,coconut
38,6,25,25.54963273,96.92786777,6.156259104,191.2996157,coconut
27,30,31,28.98545306,90.73966792,5.718120393,148.8398374,coconut
32,11,31,29.51611558,92.56492864,6.461225827000001,131.2116167,coconut
14,23,25,26.18552389,96.96637916,5.6121227970000005,135.4186222,coconut
107,34,32,26.77463708,66.4132686,6.78006386,177.7745075,coffee
82,29,35,26.67377159,52.24226285,6.246872394,156.15438980000005,coffee
114,27,28,24.99451759,57.93250202,7.162802357,192.8736822,coffee
114,20,26,25.55656667,62.67087838,7.27905689,193.5866233,coffee
101,31,26,26.70897548,69.71184111,6.861235184,158.86088869999998,coffee
107,21,26,26.45288458,55.32222678,7.235070264,144.68613359999995,coffee
118,31,34,27.54823036,62.88179198,6.123796057000001,181.4170812,coffee
117,37,32,23.1069385,67.06230539,6.787658922,162.57696059999995,coffee
103,33,25,27.10210397,55.74973320000001,6.911066044,139.5013171,coffee
104,26,30,24.40726724,62.65692638,6.410992833,148.6977358,coffee
